n_estimator,nin_child_weight,max_depth,accuracy_min,accuracy_max,accuracy_mean,min_child_weight
40,,20,0.758597883598,0.866402116402,0.800264550265,1.0
40,,30,0.768849206349,0.867724867725,0.799338624339,1.0
40,,40,0.76917989418,0.865740740741,0.798743386243,1.0
40,,50,0.76917989418,0.867724867725,0.79914021164,1.0
40,,60,0.76917989418,0.867724867725,0.79914021164,1.0
40,,70,0.76917989418,0.867724867725,0.79914021164,1.0
40,,20,0.766865079365,0.86541005291,0.800132275132,2.0
40,,30,0.763888888889,0.864748677249,0.798941798942,2.0
40,,40,0.76455026455,0.867063492063,0.799537037037,2.0
40,,50,0.76455026455,0.86541005291,0.799206349206,2.0
40,,60,0.76455026455,0.86541005291,0.799206349206,2.0
40,,70,0.76455026455,0.86541005291,0.799206349206,2.0
40,,20,0.756944444444,0.86044973545,0.792394179894,3.0
40,,30,0.759920634921,0.863095238095,0.792394179894,3.0
40,,40,0.763227513228,0.863095238095,0.792526455026,3.0
40,,50,0.763227513228,0.863425925926,0.792592592593,3.0
40,,60,0.763227513228,0.863425925926,0.792592592593,3.0
40,,70,0.763227513228,0.863425925926,0.792592592593,3.0
40,,20,0.751653439153,0.861111111111,0.789417989418,4.0
40,,30,0.755621693122,0.866732804233,0.791798941799,4.0
40,,40,0.75496031746,0.865740740741,0.79126984127,4.0
40,,50,0.75496031746,0.865740740741,0.79126984127,4.0
40,,60,0.75496031746,0.865740740741,0.79126984127,4.0
40,,70,0.75496031746,0.865740740741,0.79126984127,4.0
40,,20,0.751322751323,0.861111111111,0.788161375661,5.0
40,,30,0.753306878307,0.86078042328,0.788558201058,5.0
40,,40,0.757275132275,0.862764550265,0.789616402116,5.0
40,,50,0.757275132275,0.862764550265,0.789616402116,5.0
40,,60,0.757275132275,0.862764550265,0.789616402116,5.0
40,,70,0.757275132275,0.862764550265,0.789616402116,5.0
40,,20,0.746693121693,0.857142857143,0.785582010582,6.0
40,,30,0.751322751323,0.858465608466,0.78664021164,6.0
40,,40,0.746693121693,0.861772486772,0.785912698413,6.0
40,,50,0.746693121693,0.861772486772,0.786243386243,6.0
40,,60,0.746693121693,0.861772486772,0.786243386243,6.0
40,,70,0.746693121693,0.861772486772,0.786243386243,6.0
40,,20,0.750330687831,0.858134920635,0.785251322751,7.0
40,,30,0.748015873016,0.86078042328,0.786177248677,7.0
40,,40,0.75,0.862433862434,0.785383597884,7.0
40,,50,0.75,0.862433862434,0.785383597884,7.0
40,,60,0.75,0.862433862434,0.785383597884,7.0
40,,70,0.75,0.862433862434,0.785383597884,7.0
60,,20,0.769510582011,0.873015873016,0.805092592593,1.0
60,,30,0.770502645503,0.871693121693,0.804497354497,1.0
60,,40,0.771825396825,0.872023809524,0.804365079365,1.0
60,,50,0.771825396825,0.873015873016,0.804563492063,1.0
60,,60,0.771825396825,0.871693121693,0.804298941799,1.0
60,,70,0.771825396825,0.871693121693,0.804298941799,1.0
60,,20,0.769510582011,0.869378306878,0.804034391534,2.0
60,,30,0.770171957672,0.868716931217,0.802843915344,2.0
60,,40,0.77414021164,0.87003968254,0.804100529101,2.0
60,,50,0.773478835979,0.868055555556,0.803505291005,2.0
60,,60,0.773478835979,0.868055555556,0.803505291005,2.0
60,,70,0.773478835979,0.868055555556,0.803505291005,2.0
60,,20,0.76455026455,0.867394179894,0.797288359788,3.0
60,,30,0.76917989418,0.87003968254,0.799206349206,3.0
60,,40,0.767526455026,0.868716931217,0.800396825397,3.0
60,,50,0.769841269841,0.869708994709,0.800396825397,3.0
60,,60,0.769841269841,0.869708994709,0.800396825397,3.0
60,,70,0.769841269841,0.869708994709,0.800396825397,3.0
60,,20,0.766534391534,0.866732804233,0.797156084656,4.0
60,,30,0.76455026455,0.870701058201,0.798412698413,4.0
60,,40,0.763558201058,0.871693121693,0.79914021164,4.0
60,,50,0.765211640212,0.871693121693,0.799338624339,4.0
60,,60,0.765211640212,0.871693121693,0.799338624339,4.0
60,,70,0.765211640212,0.871693121693,0.799338624339,4.0
60,,20,0.757605820106,0.865079365079,0.793584656085,5.0
60,,30,0.770502645503,0.866732804233,0.798082010582,5.0
60,,40,0.766865079365,0.869378306878,0.798148148148,5.0
60,,50,0.766865079365,0.869378306878,0.798082010582,5.0
60,,60,0.766865079365,0.869378306878,0.798082010582,5.0
60,,70,0.766865079365,0.869378306878,0.798082010582,5.0
60,,20,0.761904761905,0.862764550265,0.794510582011,6.0
60,,30,0.763558201058,0.864417989418,0.795105820106,6.0
60,,40,0.758597883598,0.868386243386,0.795634920635,6.0
60,,50,0.762566137566,0.868386243386,0.79503968254,6.0
60,,60,0.762566137566,0.868386243386,0.79503968254,6.0
60,,70,0.762566137566,0.868386243386,0.79503968254,6.0
60,,20,0.761904761905,0.863756613757,0.793452380952,7.0
60,,30,0.75958994709,0.867394179894,0.795502645503,7.0
60,,40,0.762896825397,0.863756613757,0.793253968254,7.0
60,,50,0.762896825397,0.866071428571,0.793386243386,7.0
60,,60,0.762896825397,0.866071428571,0.793386243386,7.0
60,,70,0.762896825397,0.866071428571,0.793386243386,7.0
80,,20,0.773148148148,0.875330687831,0.806415343915,1.0
80,,30,0.777447089947,0.873015873016,0.806944444444,1.0
80,,40,0.775793650794,0.871693121693,0.806018518519,1.0
80,,50,0.775793650794,0.874007936508,0.806481481481,1.0
80,,60,0.775793650794,0.872354497354,0.806150793651,1.0
80,,70,0.775793650794,0.872354497354,0.806150793651,1.0
80,,20,0.772156084656,0.871362433862,0.806481481481,2.0
80,,30,0.77414021164,0.87037037037,0.806018518519,2.0
80,,40,0.775462962963,0.87037037037,0.805291005291,2.0
80,,50,0.773148148148,0.871693121693,0.804761904762,2.0
80,,60,0.773148148148,0.871693121693,0.804761904762,2.0
80,,70,0.773148148148,0.871693121693,0.804761904762,2.0
80,,20,0.772817460317,0.87003968254,0.802116402116,3.0
80,,30,0.775793650794,0.870701058201,0.804034391534,3.0
80,,40,0.772156084656,0.873346560847,0.803306878307,3.0
80,,50,0.775132275132,0.871031746032,0.803637566138,3.0
80,,60,0.775132275132,0.871031746032,0.803637566138,3.0
80,,70,0.775132275132,0.871031746032,0.803637566138,3.0
80,,20,0.771825396825,0.868055555556,0.801058201058,4.0
80,,30,0.765542328042,0.869378306878,0.801388888889,4.0
80,,40,0.768518518519,0.873346560847,0.803703703704,4.0
80,,50,0.767857142857,0.873346560847,0.80291005291,4.0
80,,60,0.767857142857,0.873346560847,0.80291005291,4.0
80,,70,0.767857142857,0.873346560847,0.80291005291,4.0
80,,20,0.767195767196,0.872023809524,0.798941798942,5.0
80,,30,0.773478835979,0.87037037037,0.801587301587,5.0
80,,40,0.770502645503,0.870701058201,0.80205026455,5.0
80,,50,0.768849206349,0.871693121693,0.801653439153,5.0
80,,60,0.768849206349,0.871693121693,0.801653439153,5.0
80,,70,0.768849206349,0.871693121693,0.801653439153,5.0
80,,20,0.766865079365,0.86541005291,0.798214285714,6.0
80,,30,0.763227513228,0.867724867725,0.798941798942,6.0
80,,40,,,,6.0
